2025-03-05 03:16:22,413 INFO: Machine machine3 initialized with tick rate 97 ticks per second
2025-03-05 03:16:24,797 INFO: Received message from machine2: received_clock=193, system_time=1741162584
2025-03-05 03:16:24,797 INFO: Processed received message: updated logical clock to 196, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,813 INFO: Sent message to localhost:50051: sent_clock=197, system_time=1741162584
2025-03-05 03:16:24,813 INFO: Sent event to localhost:50051: updated logical clock to 197, system_time=1741162584
2025-03-05 03:16:24,821 INFO: Internal event: updated logical clock to 198, system_time=1741162584
2025-03-05 03:16:24,823 INFO: Received message from machine2: received_clock=194, system_time=1741162584
2025-03-05 03:16:24,831 INFO: Processed received message: updated logical clock to 199, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,844 INFO: Internal event: updated logical clock to 200, system_time=1741162584
2025-03-05 03:16:24,858 INFO: Sent message to localhost:50051: sent_clock=201, system_time=1741162584
2025-03-05 03:16:24,860 INFO: Sent message to localhost:50052: sent_clock=201, system_time=1741162584
2025-03-05 03:16:24,860 INFO: Broadcast sent: updated logical clock to 201, system_time=1741162584
2025-03-05 03:16:24,868 INFO: Internal event: updated logical clock to 202, system_time=1741162584
2025-03-05 03:16:24,880 INFO: Internal event: updated logical clock to 203, system_time=1741162584
2025-03-05 03:16:24,892 INFO: Internal event: updated logical clock to 204, system_time=1741162584
2025-03-05 03:16:24,905 INFO: Internal event: updated logical clock to 205, system_time=1741162584
2025-03-05 03:16:24,917 INFO: Internal event: updated logical clock to 206, system_time=1741162584
2025-03-05 03:16:24,929 INFO: Internal event: updated logical clock to 207, system_time=1741162584
2025-03-05 03:16:24,941 INFO: Internal event: updated logical clock to 208, system_time=1741162584
2025-03-05 03:16:24,954 INFO: Internal event: updated logical clock to 209, system_time=1741162584
2025-03-05 03:16:24,964 INFO: Received message from machine2: received_clock=206, system_time=1741162584
2025-03-05 03:16:24,966 INFO: Processed received message: updated logical clock to 210, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,981 INFO: Sent message to localhost:50051: sent_clock=211, system_time=1741162584
2025-03-05 03:16:24,981 INFO: Sent event to localhost:50051: updated logical clock to 211, system_time=1741162584
2025-03-05 03:16:24,992 INFO: Sent message to localhost:50052: sent_clock=212, system_time=1741162584
2025-03-05 03:16:24,992 INFO: Sent event to localhost:50052: updated logical clock to 212, system_time=1741162584
