2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:39:59,039 INFO: Broadcast sent: updated logical clock to 101, system_time=1741160399
2025-03-05 02:39:59,237 INFO: Sent message to localhost:50051: sent_clock=102, system_time=1741160399
2025-03-05 02:39:59,238 INFO: Sent message to localhost:50053: sent_clock=102, system_time=1741160399
2025-03-05 02:39:59,238 INFO: Broadcast sent: updated logical clock to 102, system_time=1741160399
2025-03-05 02:39:59,439 INFO: Internal event: updated logical clock to 103, system_time=1741160399
2025-03-05 02:39:59,642 INFO: Internal event: updated logical clock to 104, system_time=1741160399
2025-03-05 02:39:59,843 INFO: Internal event: updated logical clock to 105, system_time=1741160399
2025-03-05 02:40:00,048 INFO: Internal event: updated logical clock to 106, system_time=1741160400
2025-03-05 02:40:00,250 INFO: Internal event: updated logical clock to 107, system_time=1741160400
2025-03-05 02:40:00,455 INFO: Internal event: updated logical clock to 108, system_time=1741160400
2025-03-05 02:40:00,658 INFO: Internal event: updated logical clock to 109, system_time=1741160400
2025-03-05 02:40:00,863 INFO: Internal event: updated logical clock to 110, system_time=1741160400
2025-03-05 02:40:01,069 INFO: Sent message to localhost:50053: sent_clock=111, system_time=1741160401
2025-03-05 02:40:01,069 INFO: Sent event to localhost:50053: updated logical clock to 111, system_time=1741160401
2025-03-05 02:40:01,275 INFO: Sent message to localhost:50053: sent_clock=112, system_time=1741160401
2025-03-05 02:40:01,275 INFO: Sent event to localhost:50053: updated logical clock to 112, system_time=1741160401
2025-03-05 02:40:01,473 INFO: Internal event: updated logical clock to 113, system_time=1741160401
2025-03-05 02:40:01,678 INFO: Internal event: updated logical clock to 114, system_time=1741160401
2025-03-05 02:40:01,883 INFO: Internal event: updated logical clock to 115, system_time=1741160401
2025-03-05 02:40:02,086 INFO: Internal event: updated logical clock to 116, system_time=1741160402
2025-03-05 02:40:02,290 INFO: Internal event: updated logical clock to 117, system_time=1741160402
2025-03-05 02:40:02,500 INFO: Sent message to localhost:50051: sent_clock=118, system_time=1741160402
2025-03-05 02:40:02,503 INFO: Sent message to localhost:50053: sent_clock=118, system_time=1741160402
2025-03-05 02:40:02,503 INFO: Broadcast sent: updated logical clock to 118, system_time=1741160402
2025-03-05 02:40:02,704 INFO: Sent message to localhost:50051: sent_clock=119, system_time=1741160402
2025-03-05 02:40:02,704 INFO: Sent event to localhost:50051: updated logical clock to 119, system_time=1741160402
2025-03-05 02:40:02,902 INFO: Sent message to localhost:50053: sent_clock=120, system_time=1741160402
2025-03-05 02:40:02,902 INFO: Sent event to localhost:50053: updated logical clock to 120, system_time=1741160402
2025-03-05 02:40:03,104 INFO: Internal event: updated logical clock to 121, system_time=1741160403
2025-03-05 02:40:03,306 INFO: Internal event: updated logical clock to 122, system_time=1741160403
2025-03-05 02:40:03,515 INFO: Sent message to localhost:50051: sent_clock=123, system_time=1741160403
2025-03-05 02:40:03,516 INFO: Sent event to localhost:50051: updated logical clock to 123, system_time=1741160403
2025-03-05 02:40:03,716 INFO: Internal event: updated logical clock to 124, system_time=1741160403
2025-03-05 02:40:03,917 INFO: Internal event: updated logical clock to 125, system_time=1741160403
2025-03-05 02:40:04,119 INFO: Internal event: updated logical clock to 126, system_time=1741160404
2025-03-05 02:40:04,324 INFO: Internal event: updated logical clock to 127, system_time=1741160404
2025-03-05 02:40:04,527 INFO: Sent message to localhost:50053: sent_clock=128, system_time=1741160404
2025-03-05 02:40:04,527 INFO: Sent event to localhost:50053: updated logical clock to 128, system_time=1741160404
2025-03-05 02:40:04,730 INFO: Internal event: updated logical clock to 129, system_time=1741160404
2025-03-05 02:40:04,934 INFO: Internal event: updated logical clock to 130, system_time=1741160404
2025-03-05 02:40:05,141 INFO: Sent message to localhost:50051: sent_clock=131, system_time=1741160405
2025-03-05 02:40:05,144 INFO: Sent message to localhost:50053: sent_clock=131, system_time=1741160405
2025-03-05 02:40:05,144 INFO: Broadcast sent: updated logical clock to 131, system_time=1741160405
2025-03-05 02:40:05,341 INFO: Internal event: updated logical clock to 132, system_time=1741160405
2025-03-05 02:40:05,541 INFO: Internal event: updated logical clock to 133, system_time=1741160405
2025-03-05 02:40:05,750 INFO: Sent message to localhost:50053: sent_clock=134, system_time=1741160405
2025-03-05 02:40:05,750 INFO: Sent event to localhost:50053: updated logical clock to 134, system_time=1741160405
2025-03-05 02:40:05,956 INFO: Sent message to localhost:50051: sent_clock=135, system_time=1741160405
