2025-03-05 03:34:41,976 INFO: Machine machine2 initialized with tick rate 2 ticks per second
2025-03-05 03:35:12,194 INFO: Sent message to localhost:50053: sent_clock=61, system_time=1741163712
2025-03-05 03:35:12,195 INFO: Sent event to localhost:50053: updated logical clock to 61, system_time=1741163712
2025-03-05 03:35:12,699 INFO: Sent message to localhost:50051: sent_clock=62, system_time=1741163712
2025-03-05 03:35:12,702 INFO: Sent message to localhost:50053: sent_clock=62, system_time=1741163712
2025-03-05 03:35:12,702 INFO: Broadcast sent: updated logical clock to 62, system_time=1741163712
2025-03-05 03:35:13,204 INFO: Sent message to localhost:50051: sent_clock=63, system_time=1741163713
2025-03-05 03:35:13,208 INFO: Sent message to localhost:50053: sent_clock=63, system_time=1741163713
2025-03-05 03:35:13,208 INFO: Broadcast sent: updated logical clock to 63, system_time=1741163713
2025-03-05 03:35:13,709 INFO: Sent message to localhost:50051: sent_clock=64, system_time=1741163713
2025-03-05 03:35:13,712 INFO: Sent message to localhost:50053: sent_clock=64, system_time=1741163713
2025-03-05 03:35:13,712 INFO: Broadcast sent: updated logical clock to 64, system_time=1741163713
2025-03-05 03:35:14,213 INFO: Sent message to localhost:50051: sent_clock=65, system_time=1741163714
2025-03-05 03:35:14,216 INFO: Sent message to localhost:50053: sent_clock=65, system_time=1741163714
2025-03-05 03:35:14,217 INFO: Broadcast sent: updated logical clock to 65, system_time=1741163714
2025-03-05 03:35:14,717 INFO: Sent message to localhost:50051: sent_clock=66, system_time=1741163714
2025-03-05 03:35:14,717 INFO: Sent event to localhost:50051: updated logical clock to 66, system_time=1741163714
2025-03-05 03:35:15,222 INFO: Sent message to localhost:50051: sent_clock=67, system_time=1741163715
2025-03-05 03:35:15,225 INFO: Sent message to localhost:50053: sent_clock=67, system_time=1741163715
2025-03-05 03:35:15,225 INFO: Broadcast sent: updated logical clock to 67, system_time=1741163715
2025-03-05 03:35:15,725 INFO: Sent message to localhost:50051: sent_clock=68, system_time=1741163715
2025-03-05 03:35:15,725 INFO: Sent event to localhost:50051: updated logical clock to 68, system_time=1741163715
2025-03-05 03:35:16,227 INFO: Sent message to localhost:50051: sent_clock=69, system_time=1741163716
2025-03-05 03:35:16,229 INFO: Sent message to localhost:50053: sent_clock=69, system_time=1741163716
2025-03-05 03:35:16,229 INFO: Broadcast sent: updated logical clock to 69, system_time=1741163716
2025-03-05 03:35:16,726 INFO: Sent message to localhost:50051: sent_clock=70, system_time=1741163716
2025-03-05 03:35:16,729 INFO: Sent message to localhost:50053: sent_clock=70, system_time=1741163716
2025-03-05 03:35:16,729 INFO: Broadcast sent: updated logical clock to 70, system_time=1741163716
2025-03-05 03:35:17,228 INFO: Internal event: updated logical clock to 71, system_time=1741163717
2025-03-05 03:35:17,737 INFO: Sent message to localhost:50051: sent_clock=72, system_time=1741163717
2025-03-05 03:35:17,740 INFO: Sent message to localhost:50053: sent_clock=72, system_time=1741163717
2025-03-05 03:35:17,740 INFO: Broadcast sent: updated logical clock to 72, system_time=1741163717
2025-03-05 03:35:18,239 INFO: Sent message to localhost:50053: sent_clock=73, system_time=1741163718
2025-03-05 03:35:18,239 INFO: Sent event to localhost:50053: updated logical clock to 73, system_time=1741163718
2025-03-05 03:35:18,735 INFO: Internal event: updated logical clock to 74, system_time=1741163718
2025-03-05 03:35:19,236 INFO: Internal event: updated logical clock to 75, system_time=1741163719
2025-03-05 03:35:19,741 INFO: Internal event: updated logical clock to 76, system_time=1741163719
2025-03-05 03:35:20,251 INFO: Sent message to localhost:50051: sent_clock=77, system_time=1741163720
2025-03-05 03:35:20,251 INFO: Sent event to localhost:50051: updated logical clock to 77, system_time=1741163720
2025-03-05 03:35:20,755 INFO: Sent message to localhost:50051: sent_clock=78, system_time=1741163720
2025-03-05 03:35:20,761 INFO: Sent message to localhost:50053: sent_clock=78, system_time=1741163720
2025-03-05 03:35:20,761 INFO: Broadcast sent: updated logical clock to 78, system_time=1741163720
2025-03-05 03:35:21,259 INFO: Sent message to localhost:50053: sent_clock=79, system_time=1741163721
2025-03-05 03:35:21,259 INFO: Sent event to localhost:50053: updated logical clock to 79, system_time=1741163721
2025-03-05 03:35:21,764 INFO: Sent message to localhost:50051: sent_clock=80, system_time=1741163721
2025-03-05 03:35:21,767 INFO: Sent message to localhost:50053: sent_clock=80, system_time=1741163721
2025-03-05 03:35:21,767 INFO: Broadcast sent: updated logical clock to 80, system_time=1741163721
2025-03-05 03:35:22,271 INFO: Sent message to localhost:50051: sent_clock=81, system_time=1741163722
2025-03-05 03:35:22,272 INFO: Sent event to localhost:50051: updated logical clock to 81, system_time=1741163722
2025-03-05 03:35:22,771 INFO: Sent message to localhost:50051: sent_clock=82, system_time=1741163722
2025-03-05 03:35:22,772 INFO: Sent event to localhost:50051: updated logical clock to 82, system_time=1741163722
2025-03-05 03:35:23,272 INFO: Internal event: updated logical clock to 83, system_time=1741163723
2025-03-05 03:35:23,774 INFO: Internal event: updated logical clock to 84, system_time=1741163723
2025-03-05 03:35:24,277 INFO: Internal event: updated logical clock to 85, system_time=1741163724
2025-03-05 03:35:24,784 INFO: Sent message to localhost:50051: sent_clock=86, system_time=1741163724
2025-03-05 03:35:24,784 INFO: Sent event to localhost:50051: updated logical clock to 86, system_time=1741163724
2025-03-05 03:35:25,288 INFO: Sent message to localhost:50051: sent_clock=87, system_time=1741163725
2025-03-05 03:35:25,291 INFO: Sent message to localhost:50053: sent_clock=87, system_time=1741163725
2025-03-05 03:35:25,292 INFO: Broadcast sent: updated logical clock to 87, system_time=1741163725
2025-03-05 03:35:25,792 INFO: Sent message to localhost:50051: sent_clock=88, system_time=1741163725
2025-03-05 03:35:25,796 INFO: Sent message to localhost:50053: sent_clock=88, system_time=1741163725
2025-03-05 03:35:25,797 INFO: Broadcast sent: updated logical clock to 88, system_time=1741163725
2025-03-05 03:35:26,293 INFO: Internal event: updated logical clock to 89, system_time=1741163726
2025-03-05 03:35:26,796 INFO: Internal event: updated logical clock to 90, system_time=1741163726
2025-03-05 03:35:27,302 INFO: Sent message to localhost:50051: sent_clock=91, system_time=1741163727
2025-03-05 03:35:27,302 INFO: Sent event to localhost:50051: updated logical clock to 91, system_time=1741163727
2025-03-05 03:35:27,805 INFO: Sent message to localhost:50051: sent_clock=92, system_time=1741163727
2025-03-05 03:35:27,808 INFO: Sent message to localhost:50053: sent_clock=92, system_time=1741163727
2025-03-05 03:35:27,809 INFO: Broadcast sent: updated logical clock to 92, system_time=1741163727
2025-03-05 03:35:28,305 INFO: Internal event: updated logical clock to 93, system_time=1741163728
2025-03-05 03:35:28,812 INFO: Sent message to localhost:50051: sent_clock=94, system_time=1741163728
2025-03-05 03:35:28,815 INFO: Sent message to localhost:50053: sent_clock=94, system_time=1741163728
2025-03-05 03:35:28,816 INFO: Broadcast sent: updated logical clock to 94, system_time=1741163728
2025-03-05 03:35:29,312 INFO: Internal event: updated logical clock to 95, system_time=1741163729
2025-03-05 03:35:29,814 INFO: Internal event: updated logical clock to 96, system_time=1741163729
2025-03-05 03:35:30,324 INFO: Sent message to localhost:50051: sent_clock=97, system_time=1741163730
2025-03-05 03:35:30,324 INFO: Sent event to localhost:50051: updated logical clock to 97, system_time=1741163730
2025-03-05 03:35:30,824 INFO: Sent message to localhost:50053: sent_clock=98, system_time=1741163730
